type,id,field,value
card,card5,cons,The problems around me persist and often get worse over time.; Others may view me as disengaged or uncaring.; I miss opportunities to develop my team members and build deeper trust.; 
card,card5,aka,"The Avoider; The ""never a good time""; More than my job's worth"
card,card5,whythisanimal,"Turtles retreat into their shells when threatened or uncomfortable, symbolizing avoidance of difficult feedback conversations."
card,card6,cardName,Crab
card,card6,shortText,I tell others  my feedback instead of addressing you directly.
card,card6,cardSummary,"When I need to give feedback, I'll talk to anyone but the person! Including their boss."
card,card6,pros,My style works well for me when I don't feel psychologically safe.; I get the support of other leaders.; I can validate my perceptions before giving feedback.; I don't have to deal with potential negative reactions.
card,card6,cons,"My style normalizes indirectness. Others start doing it too. Suddenly, feedback is whispered—not spoken.; The person receiving secondhand feedback usually feels ambushed, defensive, or humiliated, especially if it comes from someone higher up.; Damages trust across the organization.; Sustains a culture of gossip and back-channeling."
card,card6,aka,"The escalator, The sidewinder, "
card,card6,whythisanimal,"Crabs move sideways, representing indirect communication and addressing issues by talking around the person involved rather than directly.  Their hard shell is symbolic of self preservation."
card,card7,cardName,Penguin
card,card7,shortText,I dump all my unfiltered thoughts at once without preparation.
card,card7,cardSummary,"I put any and all of my thoughts and feelings on the table. I don't ask if it's a good time. I just open my mouth and whatever comes out, I'll call ""feedback"". I think it's helpful for a person to receive all the feedback in one go, so that they can reflect on what is useful for them. "
card,card7,pros,"Hey, people know what I'm thinking! I'm an open book!; I provide comprehensive feedback.; People know what they're getting. No bullshit. It's authentic. Just the way I am."
card,card7,cons,"I've noticed people start bracing for impact every time I speak. Over time, they avoid me, or withhold their own honesty.; People can get defensive when I'm ""transparent"" like this. It seems like they aren't listening.; The recipient may be overwhelmed and unable to process all the feedback at once. Important points get lost among less significant ones."
card,card7,aka,"The Unfiltered; The Seagull; The Drive-by, The Dump truck, "
card,card7,whythisanimal,"Penguins spend days out at sea catching fish, then return to feed their young by regurgitating everything they've caught."
config,dropZones,dropZone1Label,The animal that feels most like the way I give feedback is....
config,dropZones,dropZone2Label,In my current role I like to receive feedback from this animal...
config,dropZones,dropZone3Label,I aspire to give feedback more like this...
